code,AT scheme code original language,AT scheme code translated,AT Notes,BE scheme code original language,BE Notes,BG scheme code original language,BG scheme code translated,BG Notes,CY scheme code original language,CY Notes,CZ scheme code original language,CZ Notes,DE scheme code original language,DE scheme code translated,DE Notes,DK scheme code original language,DK Notes,EE scheme code original language ,EE scheme code translated,EE Notes,ES scheme code original language,ES Notes,FR scheme code original language,FR scheme code translated,FR Notes,GB scheme code original language,GB Notes,GR scheme code original language,GR scheme code translated,GR Notes,HR scheme code original language,HR scheme code translated,HR Notes,HU scheme code original language,HU scheme code translated,HU Notes,IE scheme code original language,IE Notes,LT scheme code original language,LT scheme code translated,LT Notes,LU scheme code original language,LU Notes,LV scheme code original language,LV scheme code translated,LV Notes,MT scheme code original language,MT Notes,NL scheme code original language,NL scheme code translated,NL Notes,PL scheme code original language,PL scheme code translated,PL Notes,PT scheme code original language,PT Notes,RO scheme code original language,RO scheme code translated,RO Notes,SE scheme code original language,SE Notes,SI scheme code original language,SI Notes,SK scheme code original language,SK Notes
V/B.1.14,Informations- und Absatzförderungsmaßnahmen (M133) (133),Information and promotion measures (M133) (133),"FRIDA: Could be this one but unsure, could also be measure VI/A.1 on row 100. KIM: Moved to match M133. ",V/B.1.14,Number corresponds,"EAFRD - ND - Схема ""Групи производители"" - Схема ""Групи производители""","EAFRD - ND - ""Producer Groups"" Scheme - ""Producer Groups"" scheme",Could also be measure  IV/A.14 on row 42 KIM: both are EAFRD. KIM: Deleted trailing space. ,,,,,,,,,,,,,V/B.1.14   Information and promotion activities [Med.133],Number and description corresponds,V/B.1.14 - Soutien groupements producteurs régimes qualité alimentaire,V / B.1.14 - Support producer groups food quality schemes /,Number and description corresponds,,,,,,,,,,,,,,,,,,,Atbalsts ražotāju grupām,Support for producer groups / ,"Could be this one but unsure, could also be measure IV/A.14 on row 42",,,,,,"V/B.1.14 Art. 33 Wsparcie ukierunkowane na konkurencyjność sektora rolnego i leśnego dotyczącego środków, których celem jest poprawa jakości produkcji i produktów rolnych",V / B.1.14 Art. 33 Support focused on the competitiveness of the agricultural and forestry sector regarding measures aimed at improving the quality of agricultural production and products,Number and description correspond,IV/B.1.14,"FRIDA: First letter in number djoes not match as it is IV and not V, but the rest of the number does. KIM: Confirmed belongs here using measure number, regulation number and description in ""Consulto Fundos (Medidas)"" list downloaded from Portuguese transparency website. ",,,,,,V/B.1.14 PRP 133: Podpora skupinam proizvajalcev / RDP 133: Information and promotion activities&nbsp,Number and description corresponding,,
V/B.1.15,,,,,,EAFRD - ND - 141 - Полупазарни стопанства,EAFRD - ND - 141 - Semi-subsistence farm,"Number not corresponding but only one that mentions semi-subsistence farms. KIM: Matches measure number, native speaker match",,,,,,,,,,Elatustalude kohanemise toetus (VB.1.15),Support for livestock adaptation (VB.1.15) / ,"Number corresponds, the description kind of fits but unsure. Fits no where else. ",,,,,,,,,,,,,,,,,,,Pusiau natūrinis ūkininkavimas (2007-2013 m. KPP) (EAFRD),Semi-subsistence farming (2007-2013 RDP) (EAFRD),Description correspond,,,Atbalsts daļēji naturālo saimniecību pārstrukturizēšanai,Aid for the restructuring of semi-subsistence farms / ,Only one that mentions restructure of semi-sub farms,,,,,,"V/B.1.15 Wsparcie ukierunkowane na konkurencyjność sektora rolnego i leśnego dotyczącego środków przejściowych dla Republiki Czeskiej, Estonii, Cypru, Łotwy, Litwy, Węgier, Malty, Polski, Słowenii i Słowacji dotyczących wspierania gospodarstw rolnych niskotowarowych w fazie restrukturyzacji","V / B.1.15 Support focused on the competitiveness of the agricultural and forestry sector regarding transitional measures for the Czech Republic, Estonia, Cyprus, Latvia, Lithuania, Hungary, Malta, Poland, Slovenia and Slovakia on supporting semi-subsistence farms undergoing restructuring",Number and description correspond,,,M141 - Agricultura de semisubzistenta,M141 - Semi-subsistence farming,"Kim: confirmed that measure number matches. Frida: Only one that mentions semi-sub farming, but description doesn't wholly correspond. Romania isn't listed as a country that gets this measure.",,,,,,
V/B.1.16,,,,,,,,,V/B.1.16,Number corresponds ,,,,,,,,1.9 Tootjarühmade loomine ja arendamine (V/B.1.16),1.9 Creation and development of producer groups (V / B.1.16) / ,Number and descriptioncorrespond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"V/B.1.16 Wsparcie ukierunkowane na konkurencyjność sektora rolnego i leśnego dotyczącego środków przejściowych dla Republiki Czeskiej, Estonii, Cypru, Łotwy, Litwy, Węgier, Malty, Polski, Słowenii i Słowacji dotyczących wspierania tworzenia grup producentów","V / B.1.16 Support focused on the competitiveness of the agricultural and forestry sector regarding transitional measures for the Czech Republic, Estonia, Cyprus, Latvia, Lithuania, Hungary, Malta, Poland, Slovenia and Slovakia on supporting the creation of producer groups",Number and description correspond,,,M142 - Grupuri de producatori,M142 - Manufacturer groups,"Kim: confirmed that measure number matches. Frida: Description correspond, number doesn't, but number corresponds with a scheme code from another country that is successfully placed at this row",,,V/B.1.16 PRP 142: Podpore za ustanavljanje in delovanje skupin proizvajalcev / RDP 142: Producer groups&nbsp,Number and description corresponds,,
V/B.1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M143 - Furnizarea de servicii de consultanta si informare publica pentru fermieri In Bulgaria si Romania,M143 - Providing consultancy and public information services to farmers In Bulgaria and Romania,Kim: confirmed that measure number matches. Frida: Description corresponds,,,,,,
V/B.1.18,,,,,,,,,,,,,,,,,,,,,V/B.1.18   Holdings undergoing restructuring due to a reform of a common market organisation [Med.144],Numbers and description corresponding,,,,,,V/B.1.18 Στήριξη γεωργικών εκμεταλλεύσεων υπό αναδιάρθρωση λόγω μεταρρύθμισης κοινής οργάνωσης αγοράς (ΕΓΤΑΑ),V / B.1.18 Support for farms undergoing restructuring following a reform of the common organization of the market (EAFRD),Numbers and description corresponds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/B.2.1,Ausgleichszahlungen für Berggebiete (211),Compensation for mountain areas (211),"Description correspond, number don't ",,,EAFRD - ND - Мярка 13.1/НР 1 - Мярка 13.1/НР 1 - Планински райони,"EAFRD - ND - Measure 13.1 / HP 1 - Measure 13.1 / HP 1 - Mountain Areas', / ",Unsure if this or measure IV/A.18 at row 46,V/B.2.1,Number corresponds,,,ELER: Ausgleichszulage Berggebiete,EAER: compensatory allowance mountain areas / compensation mountain areas,"KIM: confirmed by DEU: correct, programming period 2007-2013 (payments are allowed until 2015), IV/A.18 is for the programming period 2014-2020. FRIDA: Could also be measure IV/A.18 on row 46 ",,,,,,V/B.2.1   Natural handicap payments to farmers in mountain areas [Med.211],Number and description corresponds,V/B.2.1 - Soutien handicaps naturels en zones de montagne,V / B.2.1 - Support for natural handicaps in mountain areas,Number and description corresponds,,,V/B.2.1 Ενισχύσεις λόγω φυσικών μειονεκτημάτων στους γεωργούς ορεινών περιοχών (ΕΓΤΑΑ),V / B.2.1 Natural handicap payments to mountain farmers (EAFRD),Numbers and description corresponds,,,,,,,,,,,,V/B.2.1,Number corresponds,Mazāklabvēlīgo apvidus kompensācija,Less-favored area compensation / ,"KIM: moved from IV/A.18 to V/B.2.1 on advice of LV agency. FRIDA: Could be this one, as it mentions compensation to ""other"" less favoured areas. Could also be measure V/B.2.1 on row 72 or measure V/B.2.2 on row 73",,,,,,V/B.2.1 Art. 37  Środki ukierunkowane na zrównoważone użytkowanie gruntów rolnych poprzez płatności z tytułu naturalnych utrudnień dla rolników na obszarach górskich,V / B.2.1 Art. 37 Measures targeting the sustainable use of agricultural land through payments for natural handicaps for farmers in mountain areas,Number and description corresponds,IV/B.2.1,"FRIDA: First letter in number djoes not match as it is IV and not V, but the rest of the number does. KIM: Confirmed belongs here using measure number, regulation number and description in ""Consulto Fundos (Medidas)"" list downloaded from Portuguese transparency website. ",M211  Plati pentru compensarea handicapurilor naturale din zonele montane,M211 Payments to compensate for natural handicaps in mountain areas,"Kim: confirmed that measure number matches. Frida: Number almost correspond, description does. ",,,V/B.2.1 PRP 211: Plačila kmetom zaradi omejenih možnosti na gorskih območjih (OMD) / RDP 211: Natural handicap payments to farmers in mountain areas (LFA)&nbsp,Number and description corresponding,,
V/B.2.2,Ausgleichszahlungen für andere benachteiligte Gebiete (212),Compensation for other less-favored areas (212),"Description correspond, number almost do. ",V/B.2.2,Number corresponds,EAFRD - ND - Мярка 13.2/НР 2 - Мярка 13.2/НР 2 - Други,"EAFRD - ND - Measure 13.2 / HP 2 - Measure 13.2 / HP 2 - Others, /","Unsure, could also be measure IV/A.18 at row 46 or none of these. KIM: Measure number doesn't match. ",V/B.2.2,Number corresponds,,,ELER: Ausgleichszulage benachteiligte Gebiete,EAFRD: compensatory allowance for less favored areas / additional compensation for underpriviledged areas,"Kim moved from IV/A.18  here to V/B.2.2 as scheme name does not have mountain focus. DEU confirmed correct, programmign period 2007-2013 (payments allowed until 2015). ",(a) measures targeting the sustainable use of agricultural land through:,Kim added; belongs in this section (one of the next 6 measures; does not belong in mountain regions as Denmark has no mountains) Not listed in the 2017 schemes on Danish website. ,2.1 Ebasoodsamate piirkondade toetus (V/B.2.2),2.1 Support for less-favored areas (V / B.2.2) / ,Number and description corresponds,"V/B.2.2   Payments to farmers in areas with handicaps, other than mountain areas [Med.212]",Number and description correspond,,,,"Payments to farmers in areas with handicaps, other than mountain areas",Same formulation as this one ,"V/B.2.2 Ενισχύσεις στους γεωργούς περιοχών με μειονεκτήματα, εκτός των ορεινών περιοχών. (ΕΓΤΑΑ)",V / B.2.2 Aid to farmers in disadvantaged areas outside mountain areas.(EAFRD),Numbers and description corresponds,,,,,,,,,"Išmokos ūkininkaujantiems vietovėse su kliūtimis, išskyrus kalnuotas vietoves (EAFRD)",Payments for farming areas with handicaps other than mountain areas (EAFRD),Description correspond,,,,,,V/B.2.2,Number corresponds,V/B.02.02. Betalingen aan landbouwers in andere gebieden met handicaps dan berggebieden,V / B.02.02.Payments to farmers in areas with handicaps other than mountain areas /,Number and description corresponding,V/B.2.2 Art. 37  Środki ukierunkowane na zrównoważone użytkowanie gruntów rolnych poprzez płatności z tytułu naturalnych utrudnień dla rolników na obszarach innych niż obszary górskie,V / B.2.2 Art. 37 Measures targeting the sustainable use of agricultural land through payments for natural handicaps for farmers in areas other than mountain areas,Number and description corresponds,IV/B.2.2,"FRIDA: First letter in number djoes not match as it is IV and not V, but the rest of the number does. KIM: Confirmed belongs here using measure number, regulation number and description in ""Consulto Fundos (Medidas)"" list downloaded from Portuguese transparency website. ",M212 - Plati  pentru compensarea handicapurilor naturale din alte zone dec?t cele montane,M212 - Payments to compensate for natural handicaps in areas other than mountain areas,"Kim: confirmed that measure number matches. Frida: Number almost corresponds, description does. ","Rural Development Fund: V/B.2.2, Measures targeting the sustainable use of agricultural land",Description and number correspond,"V/B.2.2 PRP 212: Plačila kmetom na območjih z omejenimi možnostmi, ki niso gorska območja (OMD) / RDP 212: Payments to farmers in areas with handicaps, other than mountain areas (LFA)&nbsp",Number and description corresponding,,
V/B.2.3,Zahlungen im Rahmen von Natura 2000 (landwirtschaftliche Flächen - M213) (213),Payments under Natura 2000 (agricultural land - M213) (213),"Description correspond, number don't ",V/B.2.3,Number corresponds,,,,,,NAT,"Czech farm office placement. But also placed at measure on IV/A.17 row 45, so could also be placed there ",ELER: Natur- und Gewässerschutz auf landwirtschaftlichen Flächen,EAFRD: Nature and water protection on agricultural land / protection of nature and waterbodies on agr lands,"KIM: DEU confirms this is correct for Natura2000 for payment period 2007-2013; Natura 2000 from 2014-2020 would be IV/A.15. FRIDA: Unsure, could also be measure IV/A.15 on row 43, V/B.2.4 on row 75 or V/B.2.6 on row 77 ",,,2.2 NATURA põld (V/B.2.3),2.2 NATURA Field (V / B.2.3) /,Number and description corresponds,V/B.2.3   Natura 2000 payments and payments linked to Directive 2000/60/EC (WFD) [Med.213],Number and description correspond,,,,,,,,,Teži uvjeti gospodarenja u poljoprivredi,Hard management conditions in agriculture / ,"FRIDA: Could be this one but unsure. Classified V/B.2.3. KIM: Unclear as does not mention Natura 2000, but  left here. ","EMVA - Natura -2000 (EMVA, EU)","EAFRD - Natura -2000 (EAFRD, EU)                                                                                                                                                                                                                                                       ","Unsure, could also be measure IV/A.17 on row 45 or V/B.2.10 on row 81 ",,,"NATURA 2000 išmokos ir išmokos, susijusios su direktyva 2000/60/EC (EAFRD)",NATURA 2000 Payments and Benefits Related to Directive 2000/60 / EC (EAFRD),Description corresponds,,,Atbalsts par LIZ platību Natura 2000 teritorijā,Support for UAA in Natura 2000 area / ,"FRIDA: Unsure, could also be measure V/B.2.3 on row 74. (UAA - utilised agricultural area). KIM: Moved to match V/B.2.3 on advice from LV agency. Deleted trailing spaces. ",,,,,,,,,,,,,,,,,,V/B.2.3,Number corresponds
V/B.2.4,Agrarumweltmaßnahmen (214),Agri-environmental measures (214),"Description correspond, number don't ",V/B.2.4,Number corresponds,,,,V/B.2.4,Number corresponds,AEO,"Czech farm office placement. But also placed at measure IV/A.15 on row 43, so could also be placed there ",ELER: Agrarumweltmaßnahmen,EAFRD: agri-environmental measures / ,"KIM: DEU confirmed correct, for programming period 2007-2013; IV/A.15 is for programming period 2014-2020.  FRIDA: Could be this one but unsure. Could also be measure I.7 on row 8 or measure IV/A.15 on row 43",,,2.3.2 Mahepõllumajandusliku tootmise toetus (V/B.2.4),2.3.2 Support for organic production (V / B.2.4) / ,"Could also be measure IV/A.16 on row 44, but number corresponds here. Kim deleted trailing spaces. ",V/B.2.4   Agri-environment payments [Med.214],Number and description correspond,V/B.2.4 - Aides agroenvironnementales (MAE),V / B.2.4 - Agri-environmental aid (EAW),Number and description corresponds,Agri-environment payments,Only one that mentions agri-env payments ,V/B.2.4 Γεωργοπεριβαλλοντικές ενισχύσεις. (ΕΓΤΑΑ),V / B.2.4 Agri-environment payments.(EAFRD),Number and description corresponds,Potpora dohotku nekomercijalnim poljoprivrednicima,Support for income to non-commercial farmers / ,"Unsure, could also be measure V/B.2.5 on row 76 or none of them. Kim deleted trailing spaces. ","EMVA Génmegõrzés - állat (EMVA, EU)","EAFRD gene conservation - animal (EAFRD, EU)                                                                                                                                                                                                                       "," Unsure, only one that mentions genetic conservation",Improving Environment & Countryside,"Kim added 7 March 2020, appeared as non-match, this is closest match. ",Konsultavimas agrarinės aplinkosaugos klausimais (EAFRD),Consultation on agri-environmental issues (EAFRD),"FRIDA: Could be this one as only one that mentions payments for agri-environmental activities, which consultation could be counted as. But could also be  measure I.7 on row 8 or measure IV/A.15 on row 43. KIM: Kept in place, EAFRD. ",V/B.2.4,Number corresponds,Bioloģiskās daudzveidības uzturēšana zālājos,Maintaining biodiversity in lawns,"FRIDA: Could be this one as it mentions grassland and environmental practices, but unsure. KIM: Moved per advice from LV agency. ",V/B.2.4,Number corresponds,V/B.02.04.a Agromilieubetalingen,V / B.02.04.a Agri-environment payments / ,Number and description corresponding. Kim deleted trailing spaces in original. ,V/B.2.4 Art. 39  Środki ukierunkowane na zrównoważone użytkowanie gruntów rolnych poprzez płatności dla obszarów Natura 2000 i płatności rolnośrodowiskowe,V / B.2.4 Art. 39 Measures aimed at the sustainable use of agricultural land through payments for Natura 2000 areas and agri-environmental payments,"Number corresponds, description kind of does. Could also be measure V / B.2.3 on row 74 as that one mentions Natura 2000, but placed here as numbers correspond.",IV/B.2.4,"FRIDA: First letter in number djoes not match as it is IV and not V, but the rest of the number does. KIM: Confirmed belongs here using measure number, regulation number and description in ""Consulto Fundos (Medidas)"" list downloaded from Portuguese transparency website. ",M214 Plati Agromediu PERE,M214 Agri-environment PERE payments,"Kim: confirmed that measure number matches. Frida: Only one that mentions agri-env payments. Ruxandra: ""I am in doubt about this one. Word by word, it is ''agri-environment payments related to the European Program for Economic Recovery'', but I couldn't find one header corresponding to this 1:1.""","Rural Development Fund: V/B.2.4, Measures targeting the sustainable use of agricultural land",Description and number correspond,V/B.2.4 PRP 214: Kmetijsko okoljska plačila / RDP 214: Agri-environment payments&nbsp,Number and description corresponding,V/B.2.4,Number corresponds
V/B.2.5,Tierschutzmaßnahmen (215),Animal welfare measures (215),"FRIDA: Description correspond, number don't. KIM: Moved here to match Measure 215. ",V/B.2.5,Number corresponds,,,,,,,,,,,,,2.4 Loomade karjatamine (V/B.2.5),2.4 Grazing of animals (V / B.2.5) / ,Number and description corresponds,V/B.2.5   Animal welfare payments [Med.215],Number and description correspond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M215 Plati bunastarea animalelor,M215 Pay animal welfare,Kim moved here from IV/A.19 after info on measure number 215 added,,,,,V/B.2.5,Number corresponds
V/B.2.6,,,,V/B.2.6,Number corresponds,,,,,,,,ELER: Nichtproduktive Investitionen,EAER: Non-productive investments / ,"KIM: DEU confirmed this is correct: ""DEU: correct, programming period 2007-2013 (payments are allowed until 2015); only for agriculture, V/B.2.13 is for forestry"". FRIDA: Unsure, could also be measure V/B.2.13 on row 84. Placed here because there already is one scheme code placed at measure  V/B.2.13, and that scheme code fits better there than this scheme code does. ",,,2.5.1 Kiviaia rajamise ja taastamise toetus (V/B.2.6),2.5.1 Support for the construction and restoration of stonework (V / B.2.6) /," Number corresponds, a bit unsure about the description but fits no where else. ",V/B.2.6   Non-productive investments [Med.216],Number and description correspond,V/B.2.6 - Aide pour les investissements non-productifs,V / B.2.6 - Aid for non-productive investments,Number and description corresponds,,,V/B.2.6 Στήριξη για μη παραγωγικές επενδύσεις. (ΕΓΤΑΑ),V / B.2.6 Support for non-productive investments.(EAFRD),Number and description corresponds,,,,"EMVA - Nem termelõ mezõgazdasági beruházások támogatása (EMVA, EU)","EAFRD - Support for non-productive agricultural investments (EAFRD, EU)                                                                                                                                                                                                                                                                                                                                                                                                                                                ",Only one that mentions non-prod inv. & agriculture.,,,Pelno nesiekiančios investicijos (EAFRD),Non-Profit Investments (EAFRD),Kind of fits,,,,,,,,V/B.02.06.a Niet-productieve investeringen,V / B.02.06.a Non-productive investments / ,Number and description corresponding,,,,IV/B.2.6,"FRIDA: First letter in number djoes not match as it is IV and not V, but the rest of the number does. KIM: Confirmed belongs here using measure number, regulation number and description in ""Consulto Fundos (Medidas)"" list downloaded from Portuguese transparency website. ",,,,"Rural Development Fund: V/B.2.6, Measures targeting the sustainable use of agricultural land",Description and number correspond,,,,
V/B.2.7,Erstaufforstung landwirtschaftlicher Flächen (M221) (221),First afforestation of agricultural land (M221) (221),"Description correspond, number don't ",V/B.2.7,Number corresponds,,,,V/B.2.7,Number corresponds,,,ELER: Erstaufforstung landwirtschaftlicher Flächen,EAFRD: first afforestation of agricultural land / ,Only one that mentions first. Aff of agri. Land,(b) measures targeting the sustainable use of forestry land through,Kim added; belongs in this section (one of the next 7 measures). Not listed in the 2017 schemes on Danish website. ,,,,V/B.2.7   First afforestation of agricultural land [Med.221],Number and description correspond,V/B.2.7 - Aide au premier boisement des terres agricoles,V / B.2.7 - Aid for first afforestation of agricultural land,Number and description corresponds,First afforestation of agricultural land,Only one that mentions first afforestation of agri. Land,V/B.2.7 Πρώτη δάσωση γεωργικής γης. (ΕΓΤΑΑ),V / B.2.7 First afforestation of agricultural land.(EAFRD),Number and description corresponds,,,,"EMVA - Mgte támogatás (EMVA, EU)","EAFRD - Mgte Support (EAFRD, EU)","Description corresponds. Mgte = ""Mezőgazdasági területek erdősítése"" (afforestation of agricultural fields)",,,Pirmas žemės ūkio paskirties žemės apželdinimas mišku (2004-2006 m. KPP įsipareigojimai) (EAFRD),First afforestation of agricultural land (RDP commitments 2004-2006) (EAFRD),Description corresponds,,,,,,,,V/B.02.07. Eerste bebossing van landbouwgrond,V / B.02.07. First afforestation of agricultural land /,Number and description corresponding,V/B.2.7 Art. 43  Środki ukierunkowane na zrównoważone użytkowanie gruntów leśnych poprzez pierwsze zalesianie gruntów rolnych,V / B.2.7 Art. 43 Measures aimed at the sustainable use of forest land through the first afforestation of agricultural land,Number and description corresponds,IV/B.2.7,"FRIDA: First letter in number djoes not match as it is IV and not V, but the rest of the number does. KIM: Confirmed belongs here using measure number, regulation number and description in ""Consulto Fundos (Medidas)"" list downloaded from Portuguese transparency website. ",M221 - Prima Impadurire a terenurilor agricole,M221 - First Afforestation of Agricultural Land,"Kim: confirmed that measure number matches. Frida: Number doesn't correspond, but description does. Only one that mentions first aff. Of agr. Land. ",,,,,V/B.2.7,Number corresponds
V/B.2.8,,,,,,,,,,,,,,,,,,,,,,,V/B.2.8 - Aide à première installation de systèmes agroforestiers,V / B.2.8 - Aid for first installation of agroforestry systems,Number and description corresponds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IV/B.2.8,"FRIDA: First letter in number djoes not match as it is IV and not V, but the rest of the number does. KIM: Confirmed belongs here using measure number, regulation number and description in ""Consulto Fundos (Medidas)"" list downloaded from Portuguese transparency website. ",,,,,,,,,
V/B.2.9,,,,,,EAFRD - ND - 223 - Първоначално залесяване на неземеделски земи,EAFRD - ND - 223 - Initial afforestation of non-agricultural land ' /,Number not corresponding but only one that mentions first afforestation of  non-agricultural land. KIM: Does match measure number. KIM: Deleted leading and trailing space. ,V/B.2.9,Numbers correspond,,,ELER: Erstaufforstung nichtlandwirtschaftlicher Flächen,EAFRD: first afforestation of non-agricultural land / ,Only one that mentions first afforestation of non-agri land,,,,,,V/B.2.9   First afforestation of non-agricultural land [Med.223],Number and description corresponds,,,,First afforestation of non-agricultural land,Only one that mentions first afforestation of non-agri land,,,,,,,,,,,,Pirmas ne žemės ūkio paskirties ir apleistos žemės ūkio paskirties žemės apželdinimas mišku (EAFRD),First afforestation of non-agricultural and abandoned agricultural land (EAFRD),,,,Lauksaimniecībā neizmantojamās zemes pirmreizējā apmežošana,First afforestation of non-agricultural land / ,Only one that mentions first afforestation of non-agri land,,,,,,V/B.2.9 Art. 45  Środki ukierunkowane na zrównoważone użytkowanie gruntów leśnych poprzez pierwsze zalesianie gruntów nierolniczych,V / B.2.9 Art. 45 Measures aimed at the sustainable use of forest land through the first afforestation of non-agricultural land,Number and description corresponds,IV/B.2.9,"FRIDA: First letter in number djoes not match as it is IV and not V, but the rest of the number does. KIM: Confirmed belongs here using measure number, regulation number and description in ""Consulto Fundos (Medidas)"" list downloaded from Portuguese transparency website. ",,,,,,,,,
V/B.2.10,,,,,,EAFRD - ND - Мярка 12/Натура 2000 - Мярка 12/Натура 2000,"EAFRD - ND - Measure 12 / Natura 2000 - Measure 12 / Natura 2000 ', / ","Number not corresponding but could also be measure  IV/A.17 on row 45, V/B.2.3 on row 74, or measure V/B.3.6 on row 90. ",,,,,,,,,,Meede 2.7 - Natura 2000 alal asuva erametsamaa kohta antav toetus (V/B.2.10),Measure 2.7 - Support for private forest land in Natura 2000 area (V / B.2.10) /,Number and description corresponds,,,,,,,,,,,,,,"EMVA - NATURA 2000 Erdõ (EMVA, EU)","EAFRD - NATURA 2000 Forest (EAFRD, EU)                                                                                                                                                                                                                                                               ",Only one that mentions Natura 2000 and forests ,,,,,,,,Natura 2000 mežiem,Natura 2000 forests / ,Only one that mentions Natura 2000 and forests ,,,,,,,,,IV/B.2.10,"FRIDA: First letter in number djoes not match as it is IV and not V, but the rest of the number does. KIM: Confirmed belongs here using measure number, regulation number and description in ""Consulto Fundos (Medidas)"" list downloaded from Portuguese transparency website. ",,,,,,,,V/B.2.10,Number corresponds
V/B.2.11,Zahlungen für Waldumweltmaßnahmen (M225) (225),Payments for forest environmental measures (M225) (225),Number doesn't correspond but description does ,,,,,,,,,,,,,,,,,,V/B.2.11   Forest-environment payments [Med.225],Number and description corresponds,,,,Forest-environment payments,Same formulation,,,,,,,"Európai Mezõgazdasági Vidékfejlesztési Alapból finanszírozott erdõ-környezetvédelmi (EMVA, EU)","Forest Environment (EAFRD, EU) financed by the European Agricultural Fund for Rural Development                                                                                                                         ",Most likely this one as same formulation. ,,,Miškų aplinkosaugos išmokos. Išmokos už neplynus miško kirtimus vietoj galimų plynų (EAFRD),Forest environmental protection payments. Payments for non-clear felling in place of clear felling (EAFRD).,"FRIDA: Could also be measure IV/A.8 on row 36, or IV/A.12 on row 40. Placed here because only one that mentions forest protection payments. KIM: Kept here, all EAFRD. ",,,,,,,,,,,,,,IV/B.2.11,"FRIDA: First letter in number djoes not match as it is IV and not V, but the rest of the number does. KIM: Confirmed belongs here using measure number, regulation number and description in ""Consulto Fundos (Medidas)"" list downloaded from Portuguese transparency website. ",,,,,,,,V/B.2.11,Number corresponds
V/B.2.12,Wiederherstellung von Forstpotential und Präventionsmaßnahmen (M226) (226),Restoration of forest potential and prevention measures (M226) (226),"Description correspond, not number ",,,EAFRD - ND - 226 - Възстановяване потенциала на горското стопанство и въвеждане на превантивни мерки,EAFRD - ND - 226 - Recovery of the forest potential and implementation of preventive actions,Number not corresponding but same formulation as this one. KIM: Matches measure number. ,V/B.2.12,Number corresponds,II.2.4.1.a,Czech farm office placement. Number not corresponding. ,,,,,,,,,V/B.2.12   Restoring forestry potential and introducing prevention actions [Med.226],Number and description corresponds,V/B.2.12 - Aide prévention et réparation des dommages forestiers,V / B.2.12 - Aid for the prevention and repair of forest damage,Number and description corresponds,,,V/B.2.12 Αποκατάσταση του δασοκομικού δυναμικού και εισαγωγή δράσεων πρόληψης (ΕΓΤΑΑ),V / B.2.12 Restoring forestry potential and introducing prevention actions (EAFRD),Number and description corresponds,,,,"EMVA - Erdészeti potenciál helyreállítása (EMVA, EU)","EAFRD - Restoring forestry potential (EAFRD, EU)                                                                                                                                                                                                                                                          ",Most likely this one as same formulation. Could also be measure IV/A.11 on row 39,,,,,,,,Mežsaimniecības ražošanas potenciāla atjaunošana ugunsgrēku un dabas katastrofu radīto postījumu vietās,Restoring forestry production potential in the areas of damage caused by fires and natural disasters / ,Most likely this one as same formulation and only one that mentions forestry prod. Pot. And fires ,,,,,,V/B.2.12 Art. 48  Środki ukierunkowane na zrównoważone użytkowanie gruntów leśnych poprzez przywracanie potencjału leśnego oraz wprowadzanie działań zapobiegawczych,V / B.2.12 Art. 48 Measures aimed at the sustainable use of forest land by restoring forest potential and introducing preventive actions,Number and description correspond,IV/B.2.12,"FRIDA: First letter in number djoes not match as it is IV and not V, but the rest of the number does. KIM: Confirmed belongs here using measure number, regulation number and description in ""Consulto Fundos (Medidas)"" list downloaded from Portuguese transparency website. ",,,,,,,,V/B.2.12,Number corresponds
V/B.2.13,,,,V/B.2.13,Number corresponds,,,,,,,,ELER: Nicht produktive Investitionen auf Waldflächen,EAFRD: Non-productive investments on forest land / ,Only one that mentions non-prod inv. on forest land,,,,,,V/B.2.13   Non-productive investments [Med.227],Number and description corresponds,V/B.2.13 - Aide pour les investissements non-productifs forestiers,V / B.2.13 - Aid for non-productive forest investments,Number and description corresponds,Non-productive investments,"Unsure, could also be measure V/B.2.6 on row 77",,,,,,,"EMVA - Erdei közjóléti létesítmények (EMVA, EU)","EAFRD - Forest public welfare facilities (EAFRD, EU)","(Mentions 'investments' in 'forests', and 'public amenities')",,,Pelno nesiekiančios investicijos miškuose (EAFRD),Non-Profit Investments in Forests (EAFRD),Only one that mentions non-productive investments in forests,,,,,,,,,,,,,,IV/B.2.13,"FRIDA: First letter in number djoes not match as it is IV and not V, but the rest of the number does. KIM: Confirmed belongs here using measure number, regulation number and description in ""Consulto Fundos (Medidas)"" list downloaded from Portuguese transparency website. ",,,,"Rural Development Fund: V/B.2.13, Measures targeting the sustainable use of forestry land",Description and number correspond,,,,
