translated_scheme,'DE148','DE94B','DEA28','DEA2D','DEB23',BE100,BE211,BE212,BE213,BE221,BE222,BE223,BE231,BE232,BE233,BE234,BE235,BE236,BE241,BE242,BE251,BE252,BE253,BE254,BE255,BE256,BE257,BE258,BE310,BE321,BE322,BE323,BE324,BE325,BE326,BE327,BE331,BE332,BE334,BE335,BE336,BE341,BE342,BE343,BE344,BE345,BE351,BE352,BE353,CH011,CY000,DK011,DK012,DK013,DK014,DK021,DK022,DK031,DK032,DK041,DK042,DK050,DKNaN,EENaN,FR101,FR211,FR223,FR232,FR251,FR253,FR301,FR411,FR412,FR414,FR632,FR633,IENaN,ITC4C,LU000,LUNaN,LVNaN,NL111,NL112,NL113,NL121,NL122,NL123,NL131,NL132,NL133,NL211,NL212,NL213,NL221,NL224,NL225,NL226,NL230,NL310,NL321,NL322,NL323,NL324,NL325,NL326,NL327,NL332,NL333,NL337,NL338,NL339,NL33A,NL341,NL342,NL411,NL412,NL413,NL414,NL421,NL422,NL423,NLNaN,RONaN,USnan
V/B.1.8,,,,,,90719.2734375,43344.44140625,,55138.05078125,,64674.828125,,86704.078125,29247.990234375,,227858.984375,,500000.0,,,,42522.37109375,682795.5625,91685.6484375,,42905.26171875,67061.53125,,34210.08984375,20812.48046875,243813.7890625,,,,45360.48828125,,6154.77978515625,16252.849609375,160246.3076171875,106186.2109375,27640.1787109375,,3008.570068359375,21058.01025390625,48943.3701171875,3344.72998046875,18303.8203125,22183.689453125,,,1599597.0,,,,,,,,,,,,,11226702.965179443,,,,,,,,,,,,,,,,1991788.6625061035,11610834.462402344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9457761.297103882,
V/B.1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1863086.044921875,,,,,,,,,,,,,,,,,,248577.0,58386.0,7696.0,357724.0,31958.0,63542.0,11580.0,,17057.0,,,257096.0,223612.400390625,117684.0,193675.0,,689685.0,158390.0,344203.0,,,59645.0,,15582.0,,264172.0,102441.0,71153.0,,76979.0,,15276.0,6505.0,535809.0,371459.0,305647.0,200326.0,403215.19921875,149026.0,,,,
V/B.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771276.2395918258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14175550.59651184,40249878.16710956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44416180.585122496,
V/B.2.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3791320.8575668335,,,,,,,,,,,,,,,,,2447938.248916626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/B.2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513384.2496147156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,676842.5361728668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/B.2.13,,,,,,12360.500244140625,37127.94958496094,28172.499633789062,101347.38952636719,143377.99169921875,183340.6004638672,41478.150146484375,26984.50018310547,17590.400024414062,740.0,39305.30029296875,27798.500061035156,3164.7000122070312,13764.2001953125,39263.10009765625,46822.90087890625,2951.4000244140625,,2924.699951171875,2225.4000244140625,,,25177.0,993.75,,,,,,,14709.599609375,,412.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/B.2.2,,,,,,137.27999877929688,7261.960000038147,3463.5,16251.219955444336,8354.559997558594,6410.429985046387,8917.350009918213,14717.369979858398,7880.320007324219,301.5,31557.109986543655,10349.630004882812,5946.169990539551,10458.970001220703,23626.110113620758,5641.009963989258,78.0,25.5,7231.5,375.0,502.5,1348.5,,535.5299959182739,,,285.0,,,1102.8800048828123,198.0,,4523.5,384.0,6802.160000085831,9384.0,,,2346.0,2588.840087890625,10510.0,3878.320053100586,,978.4400024414062,,4805188.19099085,1415075.2259280002,498122.634516,1275901.0229400005,329749.87653000007,683484.4768019998,5049506.635289998,3554206.0424159947,11612327.121924002,6901754.797620004,5019754.342116005,15665560.184219996,2112.468216,9485177.87040329,,,,,,,,,,,,,,,,,,587.5,31002.140533447266,799773.348236084,233529.160592556,79229.78047180176,52595.710525512695,22646.47999572754,11091.039916992188,61308.699462890625,46297.67984008789,31692.36001586914,7583.919967651367,192251.3100643158,53581.789947509766,79417.77919006348,119632.03126525879,9901.020111083984,855404.600030899,115661.36027526855,9324.249963760376,62604.00044822693,11994.3701171875,154952.6102294922,558786.6305923462,25769.85984802246,176004.3494873047,83272.26010131836,111297.76029968262,410179.4905176759,58726.22039794922,441704.5313873291,475.63999938964844,6200.240005493164,4777.080047607422,7091.650094985962,21691.88003540039,13112.060272216797,8154.500061035156,7976.519958496094,649467.8321056366,8425.219970703125,33585492.88516373,
V/B.2.3,,,412.0,109.0,548.0,3065.5799865722656,3022.5,289.5,13474.720003128052,9026.109954833984,10365.61994934082,6301.519989013672,4737.06999206543,4067.779998779297,4755.139892578125,5276.160018920898,2988.0,3186.0,4223.67000579834,26530.12001800537,20605.029998779297,6980.370010375977,605.0200042724609,832.0,4797.0,,3503.4400024414062,,16473.559997558594,17711.0,3573.0,66273.6400756836,6456.0,6661.309997558594,123911.02000427246,4809.269989013672,29303.570068359375,45192.95001220703,3735.0,163000.83686828613,135069.87994384766,90959.84002685547,155210.0199432373,187488.94995117188,273086.50997924805,568460.5,302130.83000183105,48933.70999145508,213934.69985961914,,,,,,,,,,,,,,,772176.7904289961,,,,,,,228.0,,,,,,,,15080.0,,2452304.50149107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2457.0,,478.5,1367.0,,,
V/B.2.4,,,,6519.259765625,,17749.230224609375,83807.58034038544,36426.950035095215,144896.71018708497,1424579.7555847168,346578.4736011028,1826455.5776443481,61660.780007362366,66963.24995422363,293071.2584104538,665670.6597201824,45249.41010284424,120415.7301940918,448931.5189499855,2617863.620704174,79507.35989761353,102587.14958000183,66149.5997937005,132465.57983398438,20000.97026824951,24231.000228881836,477178.01934814453,17089.80998802185,421018.7297363281,88029.87110841274,184156.38745117188,99767.20977783203,37936.900390625,86056.69946289062,828972.9944763184,94903.859375,550421.0283203125,548489.1531982422,167118.7518310547,1175615.7416992188,947600.8594360352,562668.8786621094,1283160.0610351562,1584278.4907226562,1334520.8011627197,1955520.0895996094,1572239.3353881836,388415.08924102783,594405.4097290039,,9283770.244039495,,,,,,,,,,,,,42489222.904759675,,,,,,783.260009765625,,,,5160.0,,,333979562.66589797,,16721.5,13126422.71467781,4103621.3232650757,1507263.666376114,793254.6016731262,2599403.017957449,6578944.994591713,3636424.428336382,2944654.508631477,897747.9807929993,695892.9980583191,702754.3401794434,1349152.3874776363,839136.9989161491,1049220.435699463,2116153.6110401154,1126701.6531219482,2068592.4781064987,650293.7395830154,313339.01059114933,3331203.8704297543,1603623.9163799286,158122.90087127686,285870.36056518555,46356.908972263336,510658.60876464844,1319362.6440218687,95983.38971138,302661.32232666016,162953.0892944336,386116.9607448578,1290566.7479109764,377192.2619726658,1615301.332725525,561528.0993195772,1194276.7578537464,438341.0971367359,428822.827791214,1536823.6314573288,360277.1372413635,258810.32732391357,637465.6592178345,1613181.1414527893,195645.20272827148,87982043.1564838,
V/B.2.5,,,,,,,72370.4765625,,,,,,,,,,,,,34662.71875,,,,,,82137.6796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4741678.238415718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183818357.10058594,
V/B.2.6,,,,,,3368.699951171875,22552.60009765625,6052.0,3275.0,4779.64990234375,7388.800048828125,8531.799987792969,35138.000091552734,12905.89990234375,5341.0,40937.949951171875,16792.699951171875,8848.14990234375,17785.900268554688,19887.600036621094,22712.849609375,2361.25,6698.75,2220.5,1095.5,2085.75,1479.0,1420.0,1167.25,,,,,140.0,,,,,,89.25,,,,,,,,297.5,,,,,,,,,,,,,,,,675174.6506347656,,,,,,,,,,,,,,,,,,595099.3125,,2751887.57421875,480791.0,,,303307.96875,320624.125,1062321.625,409474.78125,,890884.2265625,66540.859375,198253.0078125,,,,404886.34375,55917.421875,2892101.125,,,,158006.6953125,,,,65329.55078125,,,,,552615.875,125299.34375,,1134125.6875,89630.12109375,147813.2109375,,1230754.375,2899499.2421875,,
V/B.2.7,,,,,,,,,,,,,,,,5136.599792480469,,910.1400146484376,,,,,6272.820068359375,,,,,,,,,,,,,,,,,,,,,,,,,,,,515176.3999786377,30195.766626,7625.570274000001,55552.22646000001,7712.091864000001,35840.327844,256475.61388200012,74228.54883599999,631560.7914419997,677921.6080620004,466704.43184399995,538758.5388600001,,,,,,,,,,,,,,,,,,,,139937.30151367188,,133880.93914794922,5874.93994140625,,10490.040008544922,526660.8210754395,278493.72021484375,,95610.4794921875,1035.5599975585938,350.0,6976.85986328125,1967.6199951171875,8559.570007324219,,10165.880065917969,39622.68029785156,10928.7998046875,,,525.0,,,,1355.6599731445312,,,,49000.0,,1361.3399658203125,17493.220703125,805.0,,,519.0,,,,,149249.49799346924,
V/B.2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36542.44016265869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1447496.0169181824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/B.3.1,,,,,,,179097.15075683594,36624.98010253906,318004.5112915039,72772.85995483398,89548.75024414062,78061.45031738281,4103.720031738281,12360.069885253906,34862.950134277344,73799.46936035156,9145.420227050781,191765.93048095703,25534.330291748047,221539.2852783203,75946.27044677734,55990.869689941406,175230.78240966797,15971.299987792969,22119.280029296875,368434.56018066406,95683.16027832031,32786.70016479492,,,,,,,19392.51953125,,194.2899932861328,13121.2197265625,,17646.259765625,,,5310.68994140625,7527.509765625,,3437.5,1426.3399658203125,,4399.31005859375,,,,,,,,,,,762228.1112159999,,135132.236244,,9414060.531478882,,,,,,,,,,,,,,,,,4040522.862915039,,,2485.760009765625,,,,30838.3203125,,,490701.75,36792.0,201725.400390625,156893.4100341797,40535.0,320271.740234375,41430.0,205085.00390625,86678.5,596618.03125,37145.66015625,,,,135319.5,,,,,,,,129063.37890625,72960.16015625,,,,,,,,,,
V/B.3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3376.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50079.640625,12828541.008049011,,,28630.689697265625,67926.0,54232.0,,,,26482.599609375,,,,,,,,,64400.0,33395.33984375,,,,,,70960.203125,33312.0,,,,33018.5390625,33023.76171875,,1247.4000244140625,,,,,,,,,22963220.229444265,
V/B.3.3,,,,,,,67011.7578125,,2088.72998046875,37075.98828125,,,,,136231.9833984375,25455.55078125,3380.5699462890625,29611.76953125,1529.27001953125,196978.49768066406,,,,,,,,,,,,,,,,174677.234375,,64897.578125,,,,,,90965.3515625,,,316611.8515625,72025.890625,,,1249859.2111816406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30335.970703125,2027552.5368652344,,,1271531.009765625,942942.5078125,,127293.0,1476891.328125,547321.953125,329264.1875,,,,295658.578125,216092.7578125,1359498.3046875,,948202.09375,700804.150390625,579173.8388671875,,701874.5625,,2598.340087890625,78883.6015625,85925.23828125,208125.28125,5933.7998046875,464697.6123046875,63681.23828125,540236.84375,,,1389947.177734375,,,375958.3623046875,151321.921875,1246370.0556640625,1990357.22265625,65970.15625,3959211.953125,13291736.00226456,
V/B.3.4,,,,,,,,,,95451.810546875,,28216.06005859375,23833.400390625,,,10958.0703125,,25760.5390625,,54862.771484375,,,,47770.05859375,,,,,,,,,,,,,,,,,,,,,,,,,,,,342904.377618,0.0,42519.39216600001,3148.044456,52978.71219,18599.190726,3947599.9932720005,479039.86188,105442.855668,1401939.5047200006,297640.708416,,,,,,,,,,,,,,,,,,418414.703125,4993829.577636719,,71081.6171875,827396.328125,66906.0,,90437.0,,,,61914.8896484375,184638.37748718262,105835.392578125,,,,,,1236522.2021484375,53307.640625,,50000.0,,,,,,,,,,167214.5625,,46268.009765625,,,201754.0625,158480.47265625,422230.6328125,291387.65625,120000.0,221500.0,,
V/B.3.5,,,,,,,178906.2578125,373541.1953125,,,,,198674.05078125,,,220896.859375,,141967.56640625,19483.669921875,157112.876953125,130972.9375,,,151756.640625,274492.328125,304545.890625,,,,,,,,,,,,,,,,,,,,,,,,,4073.2698974609375,,,,,,,,,,,,,970836.6615600586,,,,,,,,,,,,,,,,599443.126953125,,,,,579789.0,1627000.0,,,253159.5,1349716.25,,,,,,,,997278.125,,1468981.0,,,,,,,,,562851.75,,,,17645.80078125,7435.56005859375,,,,,,,,,138580094.93113223,
V/B.3.6,,,,,,36823.98046875,210059.9453125,30679.779052734375,17621.50048828125,220497.59765625,189417.34375,19433.5390625,73947.171875,19973.759643554688,56103.58984375,81287.21899414062,3187.0,16550.3203125,20806.56957244873,65356.64013671875,18525.109375,,,135702.796875,17928.0,,,,,,480.0,,,,,,,,,11960.679931640625,,,7627.169921875,7739.89990234375,78544.0,18428.099975585938,40048.81982421875,24156.619140625,,,273000.6721191406,,,,,,,,,,,,,5653302.683074951,,,,,,,,,,,,,,,,159849.76953125,140204.0068359375,,,2459756.75,222920.0,3910.0,449945.5625,1119153.1022949219,,,1155570.375,,185703.1171875,,,,,94285.2578125,522586.4365234375,73306.66015625,539985.3671875,300468.0,1413795.25,,188893.28125,281713.65625,90834.15625,,62274.740234375,43122.16015625,435466.8125,59441.62109375,203081.515625,692367.640625,,9891.2998046875,,,406561.46875,639901.30078125,221855.765625,1260937.904296875,,
V/B.3.7,,,,,,,,,5983.8798828125,136300.078125,,32026.2890625,,,,162288.37890625,,,,238981.1630859375,179518.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124472.239788,,166547.487792,308824.126956,239544.613068,385947.862578,410298.92812200007,423308.0192820001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/B.3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/B.4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59890.55078125,,32800.51953125,,,,,,,,,,,,,,,43788.76953125,,,,,199647.0,278724.540144,12803.988042000003,250584.36552600004,566067.435504,31724.583,5100641.699832001,3192324.4619160015,3878545.4355180003,4747080.545165999,2737082.3298299997,6694807.495403996,,14966527.059355736,,,,,,,,,,,,,,,,,1053135.124633789,,,,43094.2109375,32720.0,,,36869.16015625,,109316.9375,,,,,,,167938.109375,113038.0390625,141310.318359375,,,,,7619.7998046875,,,,,,,,,,,,,,,,,44587.83984375,48083772.49391174,
V/B.4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54807.4619140625,,,,53845.99072265625,,22935.30078125,,,,,,,36873.51171875,40224.05078125,42847.7890625,20736.080078125,68594.09375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87908.0,6564.0,,,,,,,,,,,,11125.9599609375,,,,,,,,11605.900390625,,,,,,,,,,,,,,,,,
V/B.4.3,,,,,,,407243.34197998047,24260.880859375,794997.0195770264,248193.29345703125,224955.890625,230907.958984375,61843.22003173828,,260198.82876586914,240629.05444335938,342030.46325683594,,103833.2890625,986591.2738647461,133202.640625,337342.583984375,623688.9453125,,,55942.39208984375,234931.9228515625,88492.51953125,154567.486328125,,180274.552734375,,,,37357.509765625,,280517.5390625,,,,207310.09375,125868.671875,23617.689453125,284312.15380859375,180534.203125,57902.37109375,290083.8203125,137889.71875,1814.3900146484373,,,,,,,,,,,,,,,,,,,,,,,,,,,,88850694.5625,,,1101718.0546875,,1727718.1560058594,573146.7360839844,2996789.634399414,1083324.546875,134574.0,28086.0,,79946.9296875,165046.9296875,290162.18359375,59205.259765625,782654.5541992188,53461.099609375,390293.7021484375,30887.900390625,215888.1796875,1070824.169921875,946945.4992675781,180921.177734375,,,,,23333.5400390625,,41005.380859375,5187.64013671875,22216.939453125,244803.92944335938,417894.65625,139108.5595703125,364628.599609375,1018156.29296875,176311.900390625,282691.2607421875,465642.318359375,245614.1591796875,,,,476040.9169921875,,
V/B.4.4,,,,,,,19409.849609375,,56665.3515625,,,6991.27978515625,,,45938.529296875,,17807.4609375,,31180.689453125,43721.638671875,37828.3203125,,,,,,59590.19921875,,20624.810546875,,89043.869140625,,,,,,81443.0390625,,,,46574.12890625,105244.53125,,72149.97265625,59672.05078125,13156.1298828125,82401.7421875,61775.359375,,,132351.95935058594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343572.37561035156,187753.62963867188,,,,,,,,,,1288.8800048828125,,46005.15869140625,174991.71875,,,,,87911.8984375,,,,,,,,,,,,,,,,28310.099609375,,,99854.1171875,,,,50137.94140625,,
V/B.4.5,,,,,,,,,151752.640625,,11802.4697265625,27427.439453125,,,142205.296875,,91994.25,,33206.8515625,140415.84375,73065.703125,57976.46875,,,,,,,42468.23046875,,62297.46875,,,,21280.8203125,,40976.5791015625,,,,26061.5,24134.83984375,,42149.26953125,22102.880859375,61720.390625,45807.689453125,216442.02734375,,,367404.16015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623262.5078125,786299.5217285156,,,45455.0,,,,338430.8125,,,7805.8798828125,64003.8984375,39530.48046875,135623.84375,,,,,,,,,,,,,,,,,9447.2998046875,15693.740234375,,,66658.40625,,34336.12109375,24554.69921875,,,,191816.013671875,17687465.41928482,
V/B.4.6,,,,,,195217.32067871094,42579.8984375,,7235.9300537109375,18501.109375,2413.220001220703,1285.0,260.91000366210943,,148.9499969482422,82343.30084228516,245.0,,8760.229919433594,38604.521881103516,39722.05859375,1458.8399658203125,,,,,,,47619.04000854492,,,,,,,,,,758459.125,,,,,,,,,,,,349750.5019683838,2924295.6,,,,,,,,,,,,5863695.046875,,,,,,,,,,,,,,,,,10455223.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674315.5,29914713.580373764,
V/B.4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-548563.2750125788,
VI/B.1,,,,,,1277181.150390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,944036.129496,,,,,,239198.392566,,,514871.20221,,,46720.53125,,,,,,,,,,,,,,,,,206183.8408203125,,,,,,,,,,,,,,,,,,129630.3798828125,,,,,,,,,,923399.1875,,,,,,,,,,,,,1658334.6171875,902116.453125,
notTranslated:(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7470.099696,,5663.341098000001,1357.5170400000004,,10086.002838,11198.84487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
notTranslated:-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439719.7564140001,356593.3004340001,1666995.243348,517611.5891280003,684652.8536220002,5463150.930749993,3987141.298896002,19698680.79988799,15375526.936908001,10705825.39959001,13230759.607722022,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
notTranslated:1. Rīcība,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5456656.429916382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
notTranslated:2. Rīcība,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1344587.310699463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
notTranslated:3. Rīcība,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356016.3590698242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
notTranslated:4. Rīcība,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223584.07818603516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
notTranslated:5. Rīcība,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203834.23681640625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
notTranslated:EKF 3.2 Veeloomastiku ja -taimestiku kaitse ja arendamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84304.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"notTranslated:EKF 3.3 Kalasadamad, lossimiskohad ja varjualused",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3434787.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
notTranslated:Heinaseemne täiendav otsetoetus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18244.730056762695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
notTranslated:Kalanduse turukorraldus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1427728.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"notTranslated:Plata unica pe suprafata - R.73/09, art.122""212 - Pla""i  pentru compensarea handicapurilor naturale din alte zone dec?t cele montane",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.86999893188477,
"notTranslated:Plata unica pe suprafata - R.73/09, art.122""le montan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.56999969482422,
"notTranslated:Plata unica pe suprafata - R.73/09, art.122""r naturale din zonele montane",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.1199951171875,
notTranslated:Praktikatoetus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199956.45051574707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
notTranslated:Põllumajandustootjate asendamise toetus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517021.9375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
notTranslated:RDP 2000-2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-151958.58878707886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
notTranslated:Rugāju lauki ziemas periodā,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4517027.036697388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"notTranslated:Sprijin specific (articolul 68) u Ajutoare directe cuplate  R.73/09, art.68(1)(b) ""e din zonele montane",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.79999923706055,
notTranslated:Toiduabiprogramm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.93000030517578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"notTranslated:Toiduabiprogrammid, käibemaks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.190000534057614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
notTranslated:Turuarendustoetus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1359704.8759765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
notTranslated:VII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-838278.3658407889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
notTranslated:Zvejas produktu pārejošo uzkrājumu atbalsts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409961.28125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
notTranslated:Zvejas produktu vienotās likmes piemaksa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,796740.53515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
notTranslated:nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7220.729718,29959.408422000004,177821.586324,26110.06959,13355.043377999998,203001.247002,163453.770846,825528.64788,360762.567936,983512.107966,485258.550858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
notTranslated:nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
